1,2,3,4,5,6,7,num
300,Murder,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by
which the death is caused is done with the intention of causing death, or—
2ndly.—If it is done with the intention of causing such bodily injury as the offender knows to be
likely to cause the death of the person to whom the harm is caused, or—
3rdly.—If it is done with the intention of causing bodily injury to any person and the bodily injury
intended to be inflicted is sufficient in the ordinary course of nature to cause death, or—
4thly.—If the person committing the act knows that it is so imminently dangerous that it must, in all
probability, cause death, or such bodily injury as is likely to cause death, and commits such act without
any excuse for incurring the risk of causing death or such injury as aforesaid.
Illustrations
(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention
of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been
sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is
labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of
health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such
bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature.
Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder,
although he may not have had a premeditated design to kill any particular individual.
Exception 1.—When culpable homicide is not murder.—Culpable homicide is not murder if the
offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death
of the person who gave the provocation or causes the death of any other person by mistake or accident.
The above exception is subject to the following provisos:—
First.—That the provocation is not sought or voluntarily provoked by the offender as an excuse for
killing or doing harm to any person.
Secondly.—That the provocation is not given by anything done in obedience to the law, or by a public
servant in the lawful exercise of the powers of such public servant.
Thirdly.—That the provocation is not given by anything done in the lawful exercise of the right of
private defence.Explanation.—Whether the provocation was grave and sudden enough to prevent the offence from
amounting to murder is a question of fact.
Illustrations
(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder,
inasmuch as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in
doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing
himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable
homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder,
inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has
perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so.
A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by
a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and
to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only
culpable homicide, but A is guilty of murder.
Exception 2.—Culpable homicide is not murder if the offender in the exercise in good faith of the
right of private defence of person or property, exceeds the power given to him by law and causes the
death of the person against whom he is exercising such right of defence without premeditation, and
without any intention of doing more harm than is necessary for the purpose of such defence.
Illustration
Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the
assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has
not committed murder, but only culpable homicide.
Exception 3.—Culpable homicide is not murder if the offender, being a public servant or aiding a
public servant acting for the advancement of public justice, exceeds the powers given to him by law, and
causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due
discharge of his duty as such public servant and without ill-will towards the person whose death is
caused.
Exception 4.—Culpable homicide is not murder if it is committed without premeditation in a sudden
fight in the heat of passion upon a sudden quarrel and without the offender's having taken undue
advantage or acted in a cruel or unusual manner.
Explanation.—It is immaterial in such cases which party offers the provocation or commits the first
assault.
Exception 5.—Culpable homicide is not murder when the person whose death is caused, being above
the age of eighteen years, suffers death or takes the risk of death with his own consent.
Illustration
A, by instigation, voluntarily causes Z, a person under eighteen years of age to commit suicide. Here, on account of Z's
youth, he was incapable of giving consent to his own death; A has therefore abetted murder",Did criminal had intenion of killing the Victim?,Did criminal knew that victim had problem in the body by which he/she can be killed?,,"302. Punishment for murder.—Whoever commits murder shall be punished with death or 1 [imprisonment for life], and shall also be liable to fine.",298
301,"Culpable homicide by causing death of person other than person whose death was
intended.","—If a person, by doing anything which he intends or knows to be likely to cause death,
commits culpable homicide by causing the death of any person, whose death he neither intends nor knows
himself to be likely to cause, the culpable homicide committed by the offender is of the description of
which it would have been if he had caused the death of the person whose death he intended or knew
himself to he likely to cause.",Did the accused cause death of some other person instead of the person he intended to cause death of?,,,,299
303,Punishment for murder by life-convict,"Whoever, being under sentence of 1
[imprisonment
for life], commits murder, shall be punished with death.",Is the accused under sentence of imprisonment of life?,,,,301
304,Punishment for culpable homicide not amounting to murder.,"Whoever commits culpable
homicide not amounting to murder, shall be punished with 1
[imprisonment for life], or imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine, if the act by
which the death is caused is done with the intention of causing death, or of causing such bodily injury as
is likely to cause death;
or with imprisonment of either description for a term which may extend to ten years, or with fine, or
with both, if the act is done with the knowledge that it is likely to cause death, but without any intention
to cause death, or to cause such bodily injury as is likely to cause death.",Did the accused commit culpable homicide but it did not result in murder?,Did the accused have both the knowledge and intention that the commited act would cause death of the person?,Did the accused know that the act is likely to cause death but did not have an intention to cause death?,,302
305,Abetment of suicide of child or insane person,"If any person under eighteen years of age,
any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits
suicide, whoever abets the commission of such suicide, shall be punished with death or 1
[imprisonment
for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.
",Did the accused instigate the victim to commit suicide?,Was the victim a person below the age of 18 or insane or intoxicated or in a disturbed state of mind?,,"shall be punished with death or 1 [imprisonment for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",305
306,Abetment of suicide ,"—If any person commits suicide, whoever abets the commission of such
suicide, shall be punished with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine",Did the accused instigate the victim to commit suicide?,,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",306
310,Thug,"Whoever, at any time after the passing of this Act, shall have been habitually associated
with any other or others for the purpose of committing robbery or child-stealing by means of or
accompanied with murder, is a thug.",Did the accused murder someone during commiting a robbery or child-stealing?,,,"sec 311(shall be punished with 3[imprisonment for life], and shall also  be liable to fine)",310
312,Causing Miscarraige,"Whoever voluntarily causes a woman with child to miscarry, shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. Explanation.—A woman who causes herself to miscarry, is within the meaning of this section.",Was the miscarriage not caused to save the mother's life?,Was the woman pregnant with a living child?,,"shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",312
313,Causing Miscarraige without women's consent,"Whoever commits the offence defined in  the last preceding section without the consent of the woman, whether the woman is quick with child or  not, shall be punished with 3[imprisonment for life], or with imprisonment of either description for a term  which may extend to ten years, and shall also be liable to fine.  ",Was the miscarriage caused without the consent of the mother?,,,"shall be punished with 4 [imprisonment for life], or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine",313
314,Death caused by act done with intent to cause miscarriage.,"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; if act done without woman's consent.—and if the act is done without the consent of the woman,  shall be punished either with 3[imprisonment for life], or with the punishment above mentioned. 
Explanation.—It is not essential to this offence that the offender should know that the act is likely to  cause death. 
",Did the act of miscarriage that was caused also lead to the death of the woman bearing the child?,Was the miscarriage caused without the consent of the mother?,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; if act done without woman's consent.—and if the act is done without the consent of the woman, shall be punished either with 1 [imprisonment for life], or with the punishment above mentioned.",314
316,Causing death of quick unborn child by act amounting to culpable homicide.,"Whoever  does any act under such circumstances, that if he thereby caused death he would be guilty of culpable  homicide, and does by such act cause the death of a quick unborn child, shall be punished with  imprisonment of either description for a term which may extend to ten years, and shall also be liable to  fine. 
",Is the accused guilty of culpable homicide?,Did the act caused death of an unborn living child?,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",316
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it.","Whoever being the father or mother of a child under the age of twelve years, or having the care of  such child, shall expose or leave such child in any place with the intention of wholly abandoning such  child, shall be punished with imprisonment of either description for a term which may extend to seven  years, or with fine, or with both. 
Explanation.—This section is not intended to prevent the trial of the offender for murder or culpable  homicide, as the case may be, if the child die in consequence of the exposure. 
",Is the child under the age of twelve?,Was the child left at the place with the intention of abandoning him?,,"shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both",317
318,Concealment of birth by secret disposal of dead body.,"Whoever, by secretly burying or  otherwise disposing of the dead body of a child whether such child die before or after or during its birth,  intentionally conceals or endeavors to conceal the birth of such child, shall be punished with  imprisonment of either description for a term which may extend to two years, or with fine, or with both. ",Was the dead body of a child secretly disposed off to conceal its birth?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",318
324,Voluntarily causing hurt by dangerous weapons or means.,"Whoever, except in the case
provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of
either description for a term which may extend to three years, or with fine, or with both.",Was the hurt not caused on provocation by some other person?,"Was the hurt caused by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal?",,"shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",324
326,Voluntarily causing grievous hurt by dangerous weapons or means.,"Whoever, except in
the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for
shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause
death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance,
or by means of any explosive substance, or by means of any substance which it is deleterious to the
human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be
punished with 1[imprisonment for life], or with imprisonment of either description for a term which may
extend to ten years, and shall also be liable to fine.",Was the grevious hurt not caused on provocation by some other person?,"Was the grevious hurt caused by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal?",,"shall be  punished with 1[imprisonment for life], or with imprisonment of either description for a term which may  extend to ten years, and shall also be liable to fine",326
360,Kidnapping from India,"Whoever conveys any person beyond the limits of 1[India] without
the consent of that person, or of some person legally authorised to consent on behalf of that person, is said
to kidnap that person from 1[India].",Was the person carried or transported outside of India without his consent?,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",366
361,Kidnapping from lawful guardianship.—,"Whoever takes or entices any minor under 2[sixteen]
years of age if a male, or under 3[eighteen] years of age if a female, or any person of unsound mind, out of
the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such
guardian, is said to kidnap such minor or person from lawful guardianship.",Was the personn taken away without the consent of their legal guardian?,Was the person a male under 16 years or a female under 18 years or a person of unsound mind?,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",367
362,Abduction,"Whoever by force compels, or by any deceitful means induces, any person to go
from any place, is said to abduct that person.",Was the person forcefully compelled or deceitfully induced to go away from any place?,,,,368
364,Kidnapping or abducting in order to murder,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with 3 [imprisonment for life] or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Was the person kidnapped or abducted in order to be murdered?,Was the person kidnapped or abducted in order to put him in a danger of being murdered?,,"shall be punished with 1 [imprisonment for life] or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",371
365,Kidnapping or abducting with intent secretly and wrongfully to confine person,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Was the person kidnapped or abducted secretly or wrongfully confined? ,,,"shall be punished with imprisonment of either description for a term which may extend to seven years, 
and shall also be liable to fine.
",373
366,". Kidnapping, abducting or inducing woman to compel her marriage, etc.—","Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; 1 [and whoever, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid].",Was the woman kidnapped or abducted and compelled to marry someone against her will?,Was the woman kidnapped or abducted and forced or seduced for illicit intercourse?,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine",374
367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc","Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.","Is the kidnapped person subjected to grevious hurt,slavery or unnatural lust of other person?",,,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",377
369,Kidnapping or abducting child under ten years with intent to steal from its person,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly any movable property from the person of such child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine",Is the kidnapped child under the age of 10 years?,Did the kidnapping take place with an intention of dishonestly taking any moveable property from person of child?,,"shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",379
371,Habitual dealing in slaves,"Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine","Is the accused habitually involved in import,export,buying and selling of slaves?",,,"shall be punished with 1 [imprisonment for life], or with imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.",382
372,"Selling minor for purposes of prostitution, etc.—","Whoever sells, lets to hire, or otherwise disposes of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.[Explanation I.—When a female under the age of eighteen years is sold, let for hire, or otherwise
disposed of to a prostitute or to any person who keeps or manages a brothel, the person so disposing of
such female shall, until the contrary is proved, be presumed to have disposed of her with the intent that
she shall be used for the purpose of prostitution.
Explanation II.—For the purposes of this section “illicit intercourse” means sexual intercourse
between persons not united by marriage or by any union or tie which, though not amounting to a
marriage, is recognised by the personal law or custom of the community to which they belong or, where
they belong to different communities, of both such communities, as constituting between them a quasimarital relation.]
",Was the female under the age of 18 years?,"Did the accused sell, let for hire, or otherwise
dispose of the female to a prostitute or to any person who keeps or manages a brothel?",,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine",383
373,"Buying minor for purposes of prostitution, etc","Whoever buys, hires or otherwise obtains possession of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. 3 [Explanation I.—Any prostitute or any person keeping or managing a brothel, who buys, hires or otherwise obtains possession of a female under the age of eighteen years shall, until the contrary is proved, be presumed to have obtained possession of such female with the intent that she shall be used for the purpose of prostitution. Explanation II.—“Illicit intercourse” has the same meaning as in section 372.]",Was the female under the age of 18 years?,"Did a prostitute or a person managing a brothel buy, hire, or obtain possesion of the female ?",,"shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",384
374,Unlawful compulsory labour,"Whoever unlawfully compels any person to labour against the will of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Was the person unlawfully compelled to labour against his will?,,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",385
401,Punishment for belonging to gang of thieves,"Whoever, at any time after the passing of this
Act, shall belong to any wandering or other gang of persons associated for the purpose of habitually
committing theft or robbery, and not being a gang of thugs or dacoits, shall be punished with rigorous
imprisonment for a term which may extend to seven years, and shall also be liable to fine",Was the criminal  gang member ?,Did he  threaten people?,was he a known associate of a gang ?,"shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",417
402,Assembling for purpose of committing dacoity,"Whoever, at any time after the passing of
this Act, shall be one of five or more persons assembled for the purpose of committing dacoity, shall be
punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable
to fine.",was the accused  involved in a robbery?,did the accused participate in or help in the robbery,was  the accused associated with robbery ,"shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine",418
108A,Abetment in India of offences outside India,"A person abets an offence within the
meaning of this Code who, in 2[India], abets the commission of any act without and beyond 2[India]
which would constitute an offence if committed in 2[India].",Was the accused instigated by somebody?,Is the accused an Indian Citizen?,,,81
153A.,"Promoting enmity between different groups on ground of religion, race, place of birth,
residence, language, etc., and doing acts prejudicial to maintenance of harmony.—","(a) by words, either spoken or written, or by signs or by visible representations or otherwise, promotes or attempts to promote, on grounds of religion, race, place of birth, residence, language, caste or community or any other ground whatsoever, disharmony or feelings of enmity, hatred or illwill between different religious, racials, language or regional groups or castes or communities, or 1. Subs. by Act 35 of 1969, s. 2, for section 153A. 42 (b) commits any act which is prejudicial to the maintenance of harmony between different religious, racial, language or regional groups or castes or communities, and which disturbs or is likely to disturb the public tranquillity, 1 [or] 1 [(c) organizes any exercise, movement, drill or other similar activity intending that the participants in such activity shall use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, or participates in such activity intending to use or be trained to use criminal force or violence or knowing it to be likely that the participants in such activity will use or be trained to use criminal force or violence, against any religious, racial, language or regional group or caste or community and such activity for any reason whatsoever causes or is likely to cause fear or alarm or a feeling of insecurity amongst members of such religious, racial, language or regional group or caste or community,] shall be punished with imprisonment which may extend to three years, or with fine, or with both. (2) Offence committed in place of worship, etc.—Whoever commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in the performance of religious worship or religious ceremonies, shall be punished with imprisonment which may extend to five years and shall also be liable to fine.]",Did you create enmity through casteism?,Did you encourage discrimination against caste between two people?,,"shall be punished with imprisonment which may extend to three years, or with fine, or with both.                                                          Offence committed in place of worship,                                                                                                                            shall be punished with imprisonment which may extend to five years and shall also 
be liable to fine",132
216A,Penalty for harbouring robbers or dacoits.—,"Whoever, knowing or having reason to
believe that any persons are about to commit or have recently committed robbery or dacoity, harbours
them or any of them, with the intention of facilitating the commission of such robbery or dacoity, or of
screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term
which may extend to seven years, and shall also be liable to fine",Did the accused harbour someone who has or was about to commit robbery or dacoity?,Did the person who harboured the offender was husband or wife of the offender?,,"shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.",206
229A, Failure by person released on bail or bond to appear in court,"Whoever, having been
charged with an offence and released on bail or on bond without sureties, fails without sufficient cause
(the burden of proving which shall lie upon him), to appear in court in accordance with the terms of the
bail or bond, shall be punished with imprisonment of either description for a term which may extend to
one year, or with fine, or with both",Was the accused released on bail or bond without sureties?,Did he fail to appear in court in accordance to the terms of bail or bond?,,"shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",224
304A, Causing death by negligence,"Whoever causes the death of any person by doing any rash
or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both.]",Was the death caused because of negligence or a rash act?,,,"shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both",303
304B,Dowry death,"(1) Where the death of a woman is caused by any burns or bodily injury or
occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that
soon before her death she was subjected to cruelty or harassment by her husband or any relative of her
husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and
such husband or relative shall be deemed to have caused her death.
Explanation.—For the purposes of this sub-section, “dowry” shall have the same meaning as in
section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).
(2) Whoever commits dowry death shall be punished with imprisonment for a term which shall not be
less than seven years but which may extend to imprisonment for life",Was the woman subjected to harrasment soon before her death by her husband or his relatives regarding dowry?,Did the death of woman take place within 7 years of marriage?,,Whoever commits dowry death shall be punished with imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life.],304
326A,"Voluntarily causing grievous hurt by use of acid, etc.","Whoever causes permanent or
partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body
of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by
using any other means with the intention of causing or with the knowledge that he is likely to cause such
injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less
than ten years but which may extend to imprisonment for life, and with fine:
Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of
the victim:
Provided further that any fine imposed under this section shall be paid to the victim.",Did the accused throw or administer acid to the victim?,"Did the act cause any permanent or
partial damage or deformity to, or burns or maims or disfigures or disable, any part or parts of the body
of a person or cause grievous hurt?",,"shall be punished with imprisonment of either description for a term which shall not be less  than ten years but which may extend to imprisonment for life, and with fine: 
Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of  the victim
",327
326B,Voluntarily throwing or attempting to throw acid.,"Whoever throws or attempts to throw
acid on any person or attempts to administer acid to any person, or attempts to use any other means, with
the intention of causing permanent or partial damage or deformity or burns or maiming or disfigurement
or disability or grievous hurt to that person, shall be punished with imprisonment of either description for
a term which shall not be less than five years but which may extend to seven years, and shall also be
liable to fine.
Explanation 1.—For the purposes of section 326A and this section, ""acid"" includes any substance
which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading
to scars or disfigurement or temporary or permanent disability.
Explanation 2.—For the purposes of section 326A and this section, permanent or partial damage or
deformity shall not be required to be irreversible.",Did the accused attempt to throw or administer acid to the victim?,,,"shall be punished with imprisonment of either description for  a term which shall not be less than five years but which may extend to seven years, and shall also be  liable to fine.",328
363A,Kidnapping or maiming a minor for purposes of begging,"—(1) Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. (2) Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine. (3) Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging. (4) In this section,— (a) “begging” means— (i) soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise; (ii) entering on any private premises for the purpose of soliciting or receiving alms; (iii) exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal; (iv) using a minor as an exhibit for the purpose of soliciting or receiving alms; (b) “minor” means— (i) in the case of a male, a person under sixteen years of age; and (ii) in the case of a female, a person under eighteen years of age.]",Was the minor kidnapped to employ or use for the purpose of begging?,Was the minor injured in a way such that a part of the body is permenantely damaged to employ or use him for the purpose of begging?,,,370
364A,"Kidnapping for ransom, etc.—","Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or 5 [any foreign State or international inter-governmental organisation or any other person] to do or abstain from doing any act or to pay a ransom, shall be punishable with death, or imprisonment for life, and shall also be liable to fine.",Did the accused threaten to cause death or hurt to the kidnapped or abducted person?,Did the accused compel the government or any other person to do or not do something or pay ransom?,,"shall be punishable with death, or imprisonment for life, and shall also be liable to fine.",372
366A,Procuration of minor girl,"—Whoever, by any means whatsoever, induces any minor girl under the age of eighteen years to go from any place or to do any act with intent that such girl may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine.",Was the girl below 18 years of age?,Was the girl moved from a place and forced or seduced to illicit intercourse with another person?,,"shall be punishable with imprisonment which may extend to ten years, and shall also be liable to fine.",375
366B,Importation of girl from foreign country,"Whoever imports into 3 [India] from any country outside India 4 [or from the State of Jammu and Kashmir] any girl under the age of twenty-one years with intent that she may be, or knowing it to be likely that she will be, forced or seduced to illicit intercourse with another person, 5 *** shall be punishable with imprisonment which may extend to ten years and shall shall also be liable to fine.]",Is the girl imported from a foreign country or the state of jammu and kashmir?,Is the girl below the age of 21 years?,Was the girl forced or seduced to illicit intercourse with another person?,shall be punishable with imprisonment which may extend to ten years and shall also be liable to fine,376
370A,Exploitation of a trafficked person,"(1) Whoever, knowingly or having reason to believe that a minor has been trafficked, engages such minor for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to seven years, and shall also be liable to fine. (2) Whoever, knowingly by or having reason to believe that a person has been trafficked, engages such person for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than three years, but which may extend to five years, and shall also be liable to fine.]",Was a minor trafficked and engaged in sexual exploitation?,Was a person trafficked and engaged in sexual exploitation?,,"a minor has been trafficked, engages such minor for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term which shall not be less than five years, but which may extend to seven years, and shall also be liable to fine.                         a person has been trafficked, engages such 
person for sexual exploitation in any manner, shall be punished with rigorous imprisonment for a term 
which shall not be less than three years, but which may extend to five years, and shall also be liable to fine.",381
